Common Name,File Location,Description,Key Components/Purpose,Section
Landing/Home Page,src/app/page.tsx,Main landing page with hero section,"HeroButtons, Navigation, Footer",Main Pages
Calculator (Main),src/app/calculator/page.tsx,Vesting calculator hub page,"SchemeTabSelector, VestingPresets",Main Pages
Calculator (Plan-Specific),src/app/calculator/[plan]/page.tsx,Individual vesting plans (pioneer/stacker/builder),"CalculatorPlanClient, VestingTimelineChart*, MetricCards",Main Pages
Historical Analysis,src/app/historical/page.tsx,Historical Bitcoin performance analyzer,"HistoricalTimelineVisualization*, HistoricalMetricCards, YearSelector",Main Pages
On-Chain Tracker,src/app/track/page.tsx,Track actual Bitcoin vesting on blockchain,"VestingTrackerForm*, OnChainTimelineVisualizer, VestingTrackerResults*",Main Pages
Bitcoin Tools,src/app/bitcoin-tools/page.tsx,Suite of Bitcoin utilities,"TransactionLookupTool, AddressExplorerTool, FeeCalculatorTool, DocumentTimestampingTool",Main Pages
Learning Center,src/app/learn/page.tsx,Educational resources,"EducationalSidebar, ProgressiveDisclosure",Main Pages
Terms of Service,src/app/terms/page.tsx,Legal terms,Basic page with markdown content,Main Pages
Privacy Policy,src/app/privacy/page.tsx,Privacy information,Basic page with markdown content,Main Pages
Risk Disclosure,src/app/risk-disclosure/page.tsx,Financial risk warnings,FinancialDisclaimer,Main Pages
Vesting Timeline Chart,VestingTimelineChart*.tsx,Main chart showing vesting projections,Chart visualization,Calculator Components
Annual Breakdown Table,VirtualizedAnnualBreakdown*.tsx,Year-by-year vesting details,Virtualized table,Calculator Components
Metric Cards,MetricCards.tsx,Key metrics display,"ROI, total value display",Calculator Components
Scheme Selector,SchemeTabSelector.tsx,Toggle between Pioneer/Stacker/Builder,Tab navigation,Calculator Components
Custom Vesting Input,CustomVestingSchedule.tsx,Configure custom vesting parameters,Form inputs,Calculator Components
Tax Calculator,TaxImplicationsCard.tsx,Tax impact calculations,Tax analysis,Calculator Components
Risk Analysis,RiskAnalysisCard.tsx,Risk assessment display,Risk metrics,Calculator Components
Historical Chart,HistoricalTimelineVisualization*.tsx,Historical performance visualization,Chart visualization,Historical Analysis Components
Year Selector,YearSelector.tsx,Select historical time range,Date picker,Historical Analysis Components
Historical Metrics,HistoricalMetricCards.tsx,Historical performance metrics,Metric display,Historical Analysis Components
Data Table,HistoricalDataTable.tsx,Tabular historical data,Data table,Historical Analysis Components
Network Status,NetworkStatus.tsx,Bitcoin network health monitor,Network metrics,Bitcoin Tools Components
Transaction Lookup,TransactionLookupTool.tsx,Search Bitcoin transactions,Transaction search,Bitcoin Tools Components
Address Explorer,AddressExplorerTool.tsx,Explore Bitcoin addresses,Address analysis,Bitcoin Tools Components
Fee Calculator,FeeCalculatorTool.tsx,Calculate transaction fees,Fee estimation,Bitcoin Tools Components
Document Timestamping,DocumentTimestampingTool.tsx,Blockchain timestamping service,Timestamping,Bitcoin Tools Components
Tool Navigation,ToolTabsNavigation.tsx,Navigate between tools,Tab navigation,Bitcoin Tools Components
Tracker Form,VestingTrackerForm*.tsx,Input Bitcoin address for tracking,Form input,On-Chain Tracking Components
Results Display,VestingTrackerResults*.tsx,Show tracking results,Results view,On-Chain Tracking Components
Timeline Visualizer,OnChainTimelineVisualizer.tsx,Visualize on-chain vesting,Timeline chart,On-Chain Tracking Components
Manual Annotations,ManualAnnotationOverride.tsx,Add custom annotations,Annotation tool,On-Chain Tracking Components
